appendix_item,source_page,field,value,confidence,reason
229,31,name_agreement, -> 57.50,0.00,explicit_ocr_correction
229,31,name_agreement,57.50,0.00,low_confidence
229,31,common_response,,0.00,missing_common_response
230,31,label,Wall,0.00,item_number_not_confirmed
230,31,concreteness, -> 3.95,0.00,explicit_ocr_correction
230,31,concreteness,3.95,0.00,low_confidence
230,31,complexity, -> 3.00,70.00,fallback_from:blank
230,31,complexity,3.00 -> 2.78,70.00,explicit_ocr_correction
230,31,complexity,2.78,70.00,low_confidence
230,31,familiarity, -> 3.43,70.00,fallback_from:blank
230,31,familiarity,3.43 -> 3.00,70.00,explicit_ocr_correction
230,31,familiarity,3.00,70.00,low_confidence
230,31,meaningfulness, -> 3.13,0.00,explicit_ocr_correction
230,31,meaningfulness,3.13,0.00,low_confidence
230,31,semantic_distance, -> 4.40,0.00,explicit_ocr_correction
230,31,semantic_distance,4.40,0.00,low_confidence
230,31,complexity_metric, -> 12,0.00,explicit_ocr_correction
230,31,complexity_metric,12,0.00,low_confidence
230,31,concept_agreement, -> 60.00,0.00,explicit_ocr_correction
230,31,concept_agreement,60.00,0.00,low_confidence
230,31,name_agreement, -> 0.00,70.00,fallback_from:blank
230,31,name_agreement,0.00 -> 60.00,70.00,explicit_ocr_correction
230,31,name_agreement,60.00,70.00,low_confidence
230,31,common_response,,0.00,missing_common_response
231,32,familiarity,2.90,83.77,low_confidence
231,32,meaningfulness,2.18,71.19,low_confidence
232,32,meaningfulness,2.40,76.47,low_confidence
232,32,complexity_metric,1 -> 4,70.00,fallback_from:1
233,32,concreteness,4.58,80.40,low_confidence
234,32,familiarity,2.05,77.96,low_confidence
234,32,name_agreement,15.00,78.20,low_confidence
234,32,common_response,,96.44,missing_common_response
235,32,familiarity,2.83,71.58,low_confidence
235,32,meaningfulness,2.40,79.70,low_confidence
235,32,semantic_distance,4.48,68.60,low_confidence
235,32,common_response,,95.66,missing_common_response
236,32,common_response,,92.87,missing_common_response
237,32,name_agreement,35.00,76.40,low_confidence
238,32,familiarity,1.60 -> 1.95,70.00,fallback_from:16
238,32,familiarity,1.95,70.00,low_confidence
239,32,familiarity,1.73,65.30,low_confidence
